,id,type,data
286,TOR201904240,visteam,SFN
287,TOR201904240,hometeam,TOR
288,TOR201904240,site,TOR02
289,TOR201904240,date,2019/04/24
290,TOR201904240,number,0
291,TOR201904240,starttime,4:09PM
292,TOR201904240,daynight,day
293,TOR201904240,usedh,true
294,TOR201904240,umphome,iassd901
295,TOR201904240,ump1b,estam901
296,TOR201904240,ump2b,lentn901
297,TOR201904240,ump3b,wolfj901
298,TOR201904240,howscored,park
299,TOR201904240,pitches,pitches
300,TOR201904240,oscorer,lajor701
301,TOR201904240,temp,68
302,TOR201904240,winddir,unknown
303,TOR201904240,windspeed,0
304,TOR201904240,fieldcond,unknown
305,TOR201904240,precip,unknown
306,TOR201904240,sky,dome
307,TOR201904240,timeofgame,161
308,TOR201904240,attendance,19652
309,TOR201904240,wp,pomed001
310,TOR201904240,lp,buchc001
311,TOR201904240,save,
312,TOR201904260,visteam,OAK
313,TOR201904260,hometeam,TOR
314,TOR201904260,site,TOR02
315,TOR201904260,date,2019/04/26
316,TOR201904260,number,0
317,TOR201904260,starttime,7:09PM
318,TOR201904260,daynight,night
319,TOR201904260,usedh,true
320,TOR201904260,umphome,rackd901
321,TOR201904260,ump1b,belld901
322,TOR201904260,ump2b,marqa901
323,TOR201904260,ump3b,vanol901
324,TOR201904260,howscored,park
325,TOR201904260,pitches,pitches
326,TOR201904260,oscorer,moreh701
327,TOR201904260,temp,68
328,TOR201904260,winddir,unknown
329,TOR201904260,windspeed,0
330,TOR201904260,fieldcond,unknown
331,TOR201904260,precip,unknown
332,TOR201904260,sky,dome
333,TOR201904260,timeofgame,170
334,TOR201904260,attendance,28688
335,TOR201904260,wp,gilek001
336,TOR201904260,lp,petiy001
337,TOR201904260,save,
338,TOR201904270,visteam,OAK
339,TOR201904270,hometeam,TOR
340,TOR201904270,site,TOR02
341,TOR201904270,date,2019/04/27
342,TOR201904270,number,0
343,TOR201904270,starttime,3:08PM
344,TOR201904270,daynight,day
345,TOR201904270,usedh,true
346,TOR201904270,umphome,belld901
347,TOR201904270,ump1b,marqa901
348,TOR201904270,ump2b,vanol901
349,TOR201904270,ump3b,rackd901
350,TOR201904270,howscored,park
351,TOR201904270,pitches,pitches
352,TOR201904270,oscorer,moreh701
353,TOR201904270,temp,68
354,TOR201904270,winddir,unknown
355,TOR201904270,windspeed,0
356,TOR201904270,fieldcond,unknown
357,TOR201904270,precip,unknown
358,TOR201904270,sky,dome
359,TOR201904270,timeofgame,170
360,TOR201904270,attendance,22254
361,TOR201904270,wp,sanca006
362,TOR201904270,lp,andeb004
363,TOR201904270,save,
364,TOR201904280,visteam,OAK
365,TOR201904280,hometeam,TOR
366,TOR201904280,site,TOR02
367,TOR201904280,date,2019/04/28
368,TOR201904280,number,0
369,TOR201904280,starttime,1:08PM
370,TOR201904280,daynight,day
371,TOR201904280,usedh,true
372,TOR201904280,umphome,marqa901
373,TOR201904280,ump1b,vanol901
374,TOR201904280,ump2b,rackd901
375,TOR201904280,ump3b,belld901
376,TOR201904280,howscored,park
377,TOR201904280,pitches,pitches
